AAL.O,Delta-Virgin takes up battle for New York-London fliers ATLANTA, March 30,Delta Air Lines has been making inroads in the dogfight over the lucrative market for business travel between New York and London, but the newly merged American Airlines Group is fighting back. ~
COST.O,Kraft challenged by "healthier" macaroni and cheese brands LOS ANGELES, March 30 Kraft Macaroni & Cheese has been a favorite meal for generations of American children, but smaller brands made with more natural ingredients are starting to nibble at its market share, part of a trend that is biting into growth at large U.S. food companies. ~
DLPH.N,UPDATE 3-Delphi told panel GM approved ignition switches below specifications * 'Unsettling' information from GM, NHTSA-panel chairman   (Adds details on GM questions, NHTSA inaction, background) ~
DAL,Delta-Virgin takes up battle for New York-London fliers ATLANTA, March 30,Delta Air Lines has been making inroads in the dogfight over the lucrative market for business travel between New York and London, but the newly merged American Airlines Group is fighting back. ~
DOW,BRIEF-Downer EDI says offer for Spotless Group now closed * Confirms that its offer for Spotless was not extended and has now closed. Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI posts FY net profit of $181.5 million * FY total revenue and other income from ordinary activities $7.29 billion , up 6.4 percent ~BRIEF-Downer EDI says ‍offer for Spotless Group extended to 28 August 2017​ * ‍Offer for Spotless Group extended to 7pm on Monday, 28 august 2017​ Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI says Spotless ‍offer extended to Aug 21, 2017​ * Spotless ‍offer extended to 7pm on monday, 21 august 2017​ Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI's takeover offer for Spotless Group extended till 7pm (Sydney time) on Aug. 14 * Unconditional takeover offer for Spotless Group extended until 7:00pm (Sydney time) on Monday, 14 August Source text for Eikon: Further company coverage: (bangalore.newsroom@thomsonreuters.com) ~BRIEF-Downer extends takeover offer for Spotless Group * decided to extend Spotless offer period for one week; offer will now remain open for acceptance until 14 august Source text for Eikon: Further company coverage: ~BRIEF-Downer extends Spotless offer to August 7 2017 * ‍Downer has decided to extend offer for Spotless Group holdings to 7 pm on Monday, 7 august 2017​ Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI's stake in Spotless increases to 80.3 pct * Downer's stake in Spotless increases to 80.3 pct Source text for Eikon: Further company coverage: ~BRIEF- Downer EDI Ltd'S stake in Spotless Group increases to 72% * As Downer's shareholding in Spotless is now over 70%, Downer expects that Spotless will be removed from certain S&P;/ASX market indices ~
EW,Edwards heart valve system tops Medtronic version in small study WASHINGTON The minimally invasive aortic heart valve replacement system from Edwards Lifesciences Corp performed better than a rival product sold by Medtronic Inc in the first head-to-head study of the two, according to data from a small German trial presented at a major heart meeting on Sunday. ~Edwards heart valve system tops Medtronic version in small study WASHINGTON, March 30 The minimally invasive aortic heart valve replacement system from Edwards Lifesciences Corp performed better than a rival product sold by Medtronic Inc in the first head-to-head study of the two, according to data from a small German trial presented at a major heart meeting on Sunday. ~
F,Mitsubishi Motors to buy a Ford plant in the Philippines -Nikkei TOKYO, March 31 Mitsubishi Motors Corp  will buy a car plant from Ford Motor Co in the Philippines for around 10 billion to 15 billion yen ($97 million-$145.7 million), the Nikkei newspaper reported on Monday without citing sources. ~
GM,UPDATE 3-Delphi told panel GM approved ignition switches below specifications * 'Unsettling' information from GM, NHTSA-panel chairman   (Adds details on GM questions, NHTSA inaction, background) ~UPDATE 1-Key GM crisis questions: Who approved switch revision and why recall took so long WASHINGTON/DETROIT, March 30 Among the most critical unanswered questions in General Motors' mounting crisis over a defective ignition switch that led to crashes and at least 13 deaths is who, eight years ago, approved a change in the part for new vehicles and why that didn't lead to a recall of older cars to fix the problem. ~CORRECTED-U.S. House panel: GM, NHTSA documents related to recalls 'troubling' WASHINGTON, March 30 Thousands of documents from General Motors and a federal agency on the automaker's faulty ignition switches provide an "unsettling picture," according to a U.S. congressional committee that received the information. ~Key GM crisis questions: Who approved switch revision and why recall took so long WASHINGTON/DETROIT Among the most critical unanswered questions in General Motors' mounting crisis over a defective ignition switch that led to crashes and at least 13 deaths is who, eight years ago, approved a change in the part for new vehicles and why that didn't lead to a recall of older cars to fix the problem. ~Key GM crisis questions: Who approved switch revision and why recall took so long WASHINGTON/DETROIT, March 30 Among the most critical unanswered questions in General Motors' mounting crisis over a defective ignition switch that led to crashes and at least 13 deaths is who, eight years ago, approved a change in the part for new vehicles and why that didn't lead to a recall of older cars to fix the problem. ~DELPHI TELLS U.S. CONGRESSIONAL PANEL GM APPROVED IGNITION SWITCH IN 2002 EVEN THOUGH AUTOMAKER KNEW PART DID NOT MEET ITS SPECIFICATIONS DELPHI TELLS U.S. CONGRESSIONAL PANEL GM APPROVED IGNITION SWITCH IN 2002 EVEN THOUGH AUTOMAKER KNEW PART DID NOT MEET ITS SPECIFICATIONS ~
GS,Argentina to receive $1 bln loan from Goldman Sachs - newspaper BUENOS AIRES, March 30 Argentina is closing in on a deal to receive around $1 billion in loans from investment bank Goldman Sachs and is in talks with other international banks about similar deals, local newspaper Pagina/12 reported on Sunday. ~
MDT,UPDATE 1-Medtronic valve for heart defects works well a year later-study (Adds researcher comments, background on congenital heart defects) ~UPDATE 2-Edwards heart valve system tops Medtronic version in small study WASHINGTON, March 30 The minimally invasive aortic heart valve replacement system from Edwards Lifesciences Corp performed better than a rival product sold by Medtronic Inc in the first head-to-head study of the two, according to data from a small German trial presented at a major heart meeting on Sunday. ~Medtronic valve for congenital heart defects works well a year later - study WASHINGTON, March 30 A non-surgically implanted heart valve meant to delay open heart surgery in children with congenital heart defects worked well for all but a few patients during a year of follow-up observation, in line with favorable results seen in original clinical trials of the Medtronic Inc  product. ~Edwards heart valve system tops Medtronic version in small study WASHINGTON The minimally invasive aortic heart valve replacement system from Edwards Lifesciences Corp performed better than a rival product sold by Medtronic Inc in the first head-to-head study of the two, according to data from a small German trial presented at a major heart meeting on Sunday. ~Edwards heart valve system tops Medtronic version in small study WASHINGTON, March 30 The minimally invasive aortic heart valve replacement system from Edwards Lifesciences Corp performed better than a rival product sold by Medtronic Inc in the first head-to-head study of the two, according to data from a small German trial presented at a major heart meeting on Sunday. ~
